administraban	administrarán
atendían	atenderán
averiguaban	averiguarán
caminaban	caminarán
comían	comerán
conocían	conocerán
consultaban	consultarán
controlaban	controlarán
crecían	crecerán
cubrían	cubrirán
demostraban	demostrarán
descargaban	descargarán
desempeñaban	desempeñarán
determinaban	determinarán
ejecutaban	ejecutarán
enfrentaban	enfrentarán
escribían	escribirán
establecían	establecerán
estaban	estarán
exploraban	explorarán
expresaban	expresarán
facilitaban	facilitarán
ganaban	ganarán
garantizaban	garantizarán
habían	habrán
habilitaban	habilitarán
imponían	impondrán
incorporaban	incorporarán
indicaban	indicarán
instalaban	instalarán
involucraban	involucrarán
limitaban	limitarán
llamaban	llamarán
lloraban	llorarán
morían	morirán
mostraban	mostrarán
obtenían	obtendrán
organizaban	organizarán
preguntaban	preguntarán
preparaban	prepararán
presentaban	presentarán
quedaban	quedarán
recibían	recibirán
regresaban	regresarán
sacaban	sacarán
sobrevivían	sobrevivirán
sugerían	sugerirán
superaban	superarán
supervisaban	supervisarán
viajaban	viajarán
