animando	animarán
aprovechando	aprovecharán
asegurando	asegurarán
asumiendo	asumirán
aumentando	aumentarán
añadiendo	añadirán
buscando	buscarán
completando	completarán
concluyendo	concluirán
confiando	confiarán
consultando	consultarán
convirtiendo	convertirán
corriendo	correrán
cumpliendo	cumplirán
diciendo	dirán
dejando	dejarán
desempeñando	desempeñarán
designando	designarán
determinando	determinarán
eliminando	eliminarán
escapando	escaparán
estando	estarán
evaluando	evaluarán
explicando	explicarán
fomentando	fomentarán
formando	formarán
funcionando	funcionarán
imaginando	imaginarán
impidiendo	impedirán
implicando	implicarán
incluyendo	incluirán
involucrando	involucrarán
manteniendo	mantendrán
mejorando	mejorarán
olvidando	olvidarán
pagando	pagarán
pidiendo	pedirán
prestando	prestarán
reforzando	reforzarán
requiriendo	requerirán
satisfaciendo	satisfarán
sirviendo	servirán
señalando	señalarán
superando	superarán
tratando	tratarán
usando	usarán
utilizando	utilizarán
vendiendo	venderán
viniendo	vendrán
verificando	verificarán
