anuncian	anunciaste
apoyan	apoyaste
atraen	atrajiste
ayudan	ayudaste
añaden	añadiste
cambian	cambiaste
cantan	cantaste
casan	casaste
confían	confiaste
consisten	consististe
coordinan	coordinaste
cuidan	cuidaste
describen	describiste
descubren	descubriste
dirigen	dirigiste
discuten	discutiste
disfrutan	disfrutaste
ejercen	ejerciste
examinan	examinaste
facilitan	facilitaste
fortalecen	fortaleciste
gestionan	gestionaste
han	hubiste
incluyen	incluiste
introducen	introdujiste
invierten	invertiste
investigan	investigaste
lloran	lloraste
logran	lograste
mantienen	mantuviste
mejoran	mejoraste
mencionan	mencionaste
mueren	moriste
obtienen	obtuviste
olvidan	olvidaste
pasan	pasaste
permanecen	permaneciste
producen	produjiste
promueven	promoviste
publican	publicaste
refuerzan	reforzaste
regresan	regresaste
relacionan	relacionaste
salvan	salvaste
seleccionan	seleccionaste
sienten	sentiste
tienen	tuviste
venden	vendiste
viven	viviste
vuelven	volviste
