abrieron	abriría
alcanzaron	alcanzaría
apoyaron	apoyaría
avanzaron	avanzaría
buscaron	buscaría
cayeron	caería
confiaron	confiaría
consistieron	consistiría
controlaron	controlaría
cooperaron	cooperaría
coordinaron	coordinaría
crearon	crearía
dijeron	diría
detuvieron	detendría
durmieron	dormiría
encontraron	encontraría
formaron	formaría
fortalecieron	fortalecería
implicaron	implicaría
incorporaron	incorporaría
incrementaron	incrementaría
intentaron	intentaría
fueron	iría
limpiaron	limpiaría
llevaron	llevaría
mataron	mataría
miraron	miraría
mostraron	mostraría
obtuvieron	obtendría
operaron	operaría
parecieron	parecería
prestaron	prestaría
previnieron	prevendría
proporcionaron	proporcionaría
quedaron	quedaría
realizaron	realizaría
recuperaron	recuperaría
refirieron	referiría
requirieron	requeriría
resolvieron	resolvería
solicitaron	solicitaría
sugirieron	sugeriría
sumaron	sumaría
supervisaron	supervisaría
tomaron	tomaría
vieron	vería
visitaron	visitaría
vivieron	viviría
volaron	volaría
votaron	votaría
