abandonas/abandonás	abandonaron
abordas/abordás	abordaron
accedes/accedés	accedieron
aceleras/acelerás	aceleraron
analizas/analizás	analizaron
animas/animás	animaron
aumentas/aumentás	aumentaron
avanzas/avanzás	avanzaron
ayudas/ayudás	ayudaron
conservas/conservás	conservaron
contribuyes/contribuís	contribuyeron
dependes/dependés	dependieron
descubres/descubrís	descubrieron
destruyes/destruís	destruyeron
disfrutas/disfrutás	disfrutaron
duermes/dormís	durmieron
escapas/escapás	escaparon
escuchas/escuchás	escucharon
esperas/esperás	esperaron
evades/evadís	evadieron
existes/existís	existieron
expresas/expresás	expresaron
gestionas/gestionás	gestionaron
haces/hacés	hicieron
informas/informás	informaron
vas	fueron
llamas/llamás	llamaron
logras/lográs	lograron
mantienes/mantenés	mantuvieron
mencionas/mencionás	mencionaron
miras/mirás	miraron
modificas/modificás	modificaron
paras/parás	pararon
pides/pedís	pidieron
presentas/presentás	presentaron
promocionas/promocionás	promocionaron
proteges/protegés	protegieron
provees/proveés	proveyeron
respetas/respetás	respetaron
revisas/revisás	revisaron
sacas/sacás	sacaron
seleccionas/seleccionás	seleccionaron
sirves/servís	sirvieron
solicitas/solicitás	solicitaron
sufres/sufrís	sufrieron
tienes/tenés	tuvieron
terminas/terminás	terminaron
vendes/vendés	vendieron
viajas/viajás	viajaron
vuelves/volvés	volvieron
