acuerdan	acordaría
administran	administraría
alcanzan	alcanzaría
alientan	alentaría
analizan	analizaría
anuncian	anunciaría
asumen	asumiría
avanzan	avanzaría
comprenden	comprendería
confirman	confirmaría
consisten	consistiría
convierten	convertiría
cortan	cortaría
dependen	dependería
descargan	descargaría
disfrutan	disfrutaría
eligen	elegiría
enfrentan	enfrentaría
esperan	esperaría
estudian	estudiaría
expresan	expresaría
generan	generaría
hablan	hablaría
instalan	instalaría
invierten	invertiría
involucran	involucraría
leen	leería
localizan	localizaría
mantienen	mantendría
miden	mediría
miran	miraría
modifican	modificaría
necesitan	necesitaría
parten	partiría
pasan	pasaría
permiten	permitiría
pueden	podría
ponen	pondría
preguntan	preguntaría
preparan	prepararía
prestan	prestaría
relacionan	relacionaría
revisan	revisaría
rompen	rompería
sacan	sacaría
sienten	sentiría
señalan	señalaría
trabajan	trabajaría
utilizan	utilizaría
viajan	viajaría
