abierto	abriría
accedido	accedería
apoyado	apoyaría
añadido	añadiría
bailado	bailaría
cambiado	cambiaría
comido	comería
completado	completaría
confirmado	confirmaría
consultado	consultaría
continuado	continuaría
coordinado	coordinaría
corrido	correría
cortado	cortaría
descargado	descargaría
designado	designaría
destruido	destruiría
discutido	discutiría
ejercido	ejercería
establecido	establecería
estado	estaría
firmado	firmaría
fomentado	fomentaría
formulado	formularía
gastado	gastaría
generado	generaría
incluido	incluiría
incorporado	incorporaría
informado	informaría
introducido	introduciría
jugado	jugaría
llorado	lloraría
logrado	lograría
mirado	miraría
mostrado	mostraría
obtenido	obtendría
partido	partiría
permitido	permitiría
preparado	prepararía
probado	probaría
promocionado	promocionaría
quedado	quedaría
reemplazado	reemplazaría
respondido	respondería
sacado	sacaría
servido	serviría
sufrido	sufriría
superado	superaría
traído	traería
utilizado	utilizaría
