abandonará	abandonaríamos
abrirá	abriríamos
adquirirá	adquiriríamos
aplicará	aplicaríamos
aprenderá	aprenderíamos
asistirá	asistiríamos
averiguará	averiguaríamos
bailará	bailaríamos
caerá	caeríamos
caminará	caminaríamos
causará	causaríamos
completará	completaríamos
comprará	compraríamos
consultará	consultaríamos
contribuirá	contribuiríamos
coordinará	coordinaríamos
dará	daríamos
dependerá	dependeríamos
dirigirá	dirigiríamos
entrará	entraríamos
estará	estaríamos
existirá	existiríamos
explorará	exploraríamos
financiará	financiaríamos
fomentará	fomentaríamos
formará	formaríamos
identificará	identificaríamos
imaginará	imaginaríamos
impedirá	impediríamos
impondrá	impondríamos
incrementará	incrementaríamos
investigará	investigaríamos
llegará	llegaríamos
llevará	llevaríamos
luchará	lucharíamos
mencionará	mencionaríamos
modificará	modificaríamos
morirá	moriríamos
observará	observaríamos
permitirá	permitiríamos
pondrá	pondríamos
preguntará	preguntaríamos
proveerá	proveeríamos
recordará	recordaríamos
relacionará	relacionaríamos
resolverá	resolveríamos
responderá	responderíamos
unirá	uniríamos
usará	usaríamos
utilizará	utilizaríamos
