aborda	abordaba
aplica	aplicaba
aprueba	aprobaba
asume	asumía
aumenta	aumentaba
ayuda	ayudaba
canta	cantaba
comparte	compartía
construye	construía
cuenta	contaba
descarga	descargaba
duerme	dormía
elimina	eliminaba
entra	entraba
escapa	escapaba
espera	esperaba
evalúa	evaluaba
examina	examinaba
forma	formaba
gana	ganaba
genera	generaba
identifica	identificaba
incrementa	incrementaba
indica	indicaba
investiga	investigaba
muestra	mostraba
oye	oía
para	paraba
parece	parecía
pasa	pasaba
pierde	perdía
pone	ponía
pregunta	preguntaba
preserva	preservaba
previene	prevenía
realiza	realizaba
recoge	recogía
recuerda	recordaba
recupera	recuperaba
reduce	reducía
representa	representaba
respeta	respetaba
revisa	revisaba
satisface	satisfacía
sigue	seguía
sirve	servía
señala	señalaba
trae	traía
vuela	volaba
vota	votaba
