abordé	abordará
acepté	aceptará
animé	animará
anuncié	anunciará
apliqué	aplicará
asistí	asistirá
bailé	bailará
caí	caerá
cerré	cerrará
conseguí	conseguirá
construí	construirá
contribuí	contribuirá
controlé	controlará
convertí	convertirá
corté	cortará
creé	creará
dije	dirá
definí	definirá
descubrí	descubrirá
designé	designará
ejecuté	ejecutará
elegí	elegirá
empecé	empezará
expresé	expresará
firmé	firmará
fortalecí	fortalecerá
funcioné	funcionará
gestioné	gestionará
imaginé	imaginará
impedí	impedirá
impliqué	implicará
incluí	incluirá
incrementé	incrementará
indiqué	indicará
informé	informará
intenté	intentará
invertí	invertirá
jugué	jugará
lloré	llorará
maté	matará
medí	medirá
preparé	preparará
probé	probará
realicé	realizará
representé	representará
seguí	seguirá
sugerí	sugerirá
tuve	tendrá
usé	usará
vi	verá
