adoptábamos	adoptarías
ampliábamos	ampliarías
atendíamos	atenderías
ayudábamos	ayudarías
caíamos	caerías
causábamos	causarías
conducíamos	conducirías
conservábamos	conservarías
consistíamos	consistirías
consolidábamos	consolidarías
construíamos	construirías
coordinábamos	coordinarías
decidíamos	decidirías
demostrábamos	demostrarías
descargábamos	descargarías
destruíamos	destruirías
deteníamos	detendrías
discutíamos	discutirías
ejercíamos	ejercerías
encontrábamos	encontrarías
enfrentábamos	enfrentarías
entrábamos	entrarías
habíamos	habrías
hacíamos	harías
imponíamos	impondrías
incluíamos	incluirías
iniciábamos	iniciarías
introducíamos	introducirías
invertíamos	invertirías
investigábamos	investigarías
llamábamos	llamarías
mejorábamos	mejorarías
mirábamos	mirarías
ocurríamos	ocurrirías
ofrecíamos	ofrecerías
oíamos	oirías
parecíamos	parecerías
pedíamos	pedirías
reducíamos	reducirías
representábamos	representarías
revisábamos	revisarías
sabíamos	sabrías
salíamos	saldrías
seguíamos	seguirías
seleccionábamos	seleccionarías
sentíamos	sentirías
éramos	serías
solicitábamos	solicitarías
soportábamos	soportarías
teníamos	tendrías
