anunciar	anunciaré
aparecer	apareceré
aplicar	aplicaré
bailar	bailaré
celebrar	celebraré
completar	completaré
confiar	confiaré
confirmar	confirmaré
considerar	consideraré
contar	contaré
cuidar	cuidaré
elaborar	elaboraré
empezar	empezaré
escapar	escaparé
evitar	evitaré
explicar	explicaré
financiar	financiaré
funcionar	funcionaré
ganar	ganaré
generar	generaré
haber	habré
identificar	identificaré
incrementar	incrementaré
indicar	indicaré
instalar	instalaré
introducir	introduciré
limitar	limitaré
limpiar	limpiaré
manejar	manejaré
matar	mataré
morir	moriré
necesitar	necesitaré
oír	oiré
permanecer	permaneceré
poder	podré
promocionar	promocionaré
proporcionar	proporcionaré
proveer	proveeré
recoger	recogeré
relacionar	relacionaré
romper	romperé
servir	serviré
señalar	señalaré
soportar	soportaré
sugerir	sugeriré
tratar	trataré
unir	uniré
verificar	verificaré
viajar	viajaré
votar	votaré
