accedía	accederías
adquiría	adquirirías
buscaba	buscarías
caía	caerías
cantaba	cantarías
casaba	casarías
combatía	combatirías
comenzaba	comenzarías
completaba	completarías
conseguía	conseguirías
consideraba	considerarías
consistía	consistirías
controlaba	controlarías
crecía	crecerías
cumplía	cumplirías
decía	dirías
demostraba	demostrarías
dependía	dependerías
desarrollaba	desarrollarías
destacaba	destacarías
detenía	detendrías
determinaba	determinarías
entraba	entrarías
enviaba	enviarías
examinaba	examinarías
fomentaba	fomentarías
garantizaba	garantizarías
gestionaba	gestionarías
incorporaba	incorporarías
manejaba	manejarías
moría	morirías
olvidaba	olvidarías
paraba	pararías
pedía	pedirías
pensaba	pensarías
protegía	protegerías
proveía	proveerías
quedaba	quedarías
realizaba	realizarías
recibía	recibirías
reemplazaba	reemplazarías
representaba	representarías
salía	saldrías
servía	servirías
señalaba	señalarías
supervisaba	supervisarías
tenía	tendrías
traía	traerías
volaba	volarías
votaba	votarías
