abren	abrirá
acceden	accederá
adquieren	adquirirá
amplían	ampliará
apoyan	apoyará
aumentan	aumentará
añaden	añadirá
caminan	caminará
celebran	celebrará
comprenden	comprenderá
consolidan	consolidará
construyen	construirá
contribuyen	contribuirá
corren	correrá
crecen	crecerá
defienden	defenderá
demuestran	demostrará
dependen	dependerá
desarrollan	desarrollará
dirigen	dirigirá
evaden	evadirá
evalúan	evaluará
examinan	examinará
firman	firmará
ganan	ganará
gestionan	gestionará
impiden	impedirá
imponen	impondrá
incluyen	incluirá
inician	iniciará
invierten	invertirá
mencionan	mencionará
modifican	modificará
muestran	mostrará
mueven	moverá
olvidan	olvidará
parten	partirá
pueden	podrá
preguntan	preguntará
refuerzan	reforzará
respetan	respetará
roban	robará
sienten	sentirá
sufren	sufrirá
suman	sumará
supervisan	supervisará
tocan	tocará
venden	venderá
vienen	vendrá
visitan	visitará
