abordaron	abordarán
abrieron	abrirán
aprovecharon	aprovecharán
aseguraron	asegurarán
atendieron	atenderán
atrajeron	atraerán
ayudaron	ayudarán
casaron	casarán
cerraron	cerrarán
comenzaron	comenzarán
compartieron	compartirán
corrieron	correrán
cortaron	cortarán
cuidaron	cuidarán
defendieron	defenderán
detuvieron	detendrán
discutieron	discutirán
elaboraron	elaborarán
escucharon	escucharán
esperaron	esperarán
evadieron	evadirán
exploraron	explorarán
expresaron	expresarán
fortalecieron	fortalecerán
funcionaron	funcionarán
gestionaron	gestionarán
informaron	informarán
introdujeron	introducirán
llamaron	llamarán
localizaron	localizarán
lucharon	lucharán
midieron	medirán
olvidaron	olvidarán
oyeron	oirán
pudieron	podrán
prepararon	prepararán
prestaron	prestarán
probaron	probarán
propusieron	propondrán
quedaron	quedarán
relacionaron	relacionarán
representaron	representarán
respetaron	respetarán
revisaron	revisarán
sentaron	sentarán
superaron	superarán
trataron	tratarán
verificaron	verificarán
visitaron	visitarán
vivieron	vivirán
