abordaba	abordaría
alcanzaba	alcanzaría
aprendía	aprendería
aseguraba	aseguraría
asistía	asistiría
averiguaba	averiguaría
cambiaba	cambiaría
cerraba	cerraría
combatía	combatiría
comenzaba	comenzaría
compartía	compartiría
consideraba	consideraría
cooperaba	cooperaría
coordinaba	coordinaría
corría	correría
cortaba	cortaría
crecía	crecería
creía	creería
cuidaba	cuidaría
dependía	dependería
desarrollaba	desarrollaría
detenía	detendría
dirigía	dirigiría
evadía	evadiría
evaluaba	evaluaría
existía	existiría
fallaba	fallaría
ganaba	ganaría
incluía	incluiría
jugaba	jugaría
leía	leería
localizaba	localizaría
mantenía	mantendría
medía	mediría
miraba	miraría
olvidaba	olvidaría
operaba	operaría
partía	partiría
pensaba	pensaría
preparaba	prepararía
producía	produciría
quedaba	quedaría
reducía	reduciría
refería	referiría
regresaba	regresaría
seguía	seguiría
sobrevivía	sobreviviría
soportaba	soportaría
verificaba	verificaría
visitaba	visitaría
