accede	accedía
aplica	aplicaba
aprueba	aprobaba
aprovecha	aprovechaba
asume	asumía
atiende	atendía
averigua	averiguaba
añade	añadía
compra	compraba
comprende	comprendía
conduce	conducía
considera	consideraba
construye	construía
crece	crecía
da	daba
empieza	empezaba
encuentra	encontraba
enseña	enseñaba
evade	evadía
examina	examinaba
forma	formaba
gestiona	gestionaba
habilita	habilitaba
incluye	incluía
invierte	invertía
juega	jugaba
llama	llamaba
menciona	mencionaba
mira	miraba
modifica	modificaba
mueve	movía
necesita	necesitaba
obtiene	obtenía
ofrece	ofrecía
opera	operaba
organiza	organizaba
oye	oía
pone	ponía
prueba	probaba
produce	producía
protege	protegía
revisa	revisaba
saca	sacaba
sugiere	sugería
termina	terminaba
trabaja	trabajaba
une	unía
utiliza	utilizaba
vende	vendía
visita	visitaba
