abren	abrías
administran	administrabas
agradecen	agradecías
anuncian	anunciabas
aprenden	aprendías
ayudan	ayudabas
cierran	cerrabas
comienzan	comenzabas
completan	completabas
construyen	construías
consultan	consultabas
cuentan	contabas
contribuyen	contribuías
crecen	crecías
dicen	decías
describen	describías
detienen	detenías
entienden	entendías
entran	entrabas
envían	enviabas
escapan	escapabas
evitan	evitabas
generan	generabas
habilitan	habilitabas
hablan	hablabas
indican	indicabas
limpian	limpiabas
llaman	llamabas
llevan	llevabas
mejoran	mejorabas
modifican	modificabas
necesitan	necesitabas
observan	observabas
olvidan	olvidabas
parecen	parecías
preparan	preparabas
presentan	presentabas
previenen	prevenías
prueban	probabas
producen	producías
proporcionan	proporcionabas
proveen	proveías
quedan	quedabas
refieren	referías
salvan	salvabas
son	eras
tocan	tocabas
toman	tomabas
trabajan	trabajabas
utilizan	utilizabas
