abríais	abriría
aceptabais	aceptaría
administrabais	administraría
ampliabais	ampliaría
aparecíais	aparecería
atendíais	atendería
bailabais	bailaría
combatíais	combatiría
confirmabais	confirmaría
consistíais	consistiría
consolidabais	consolidaría
contabais	contaría
contribuíais	contribuiría
controlabais	controlaría
dependíais	dependería
descargabais	descargaría
deteníais	detendría
discutíais	discutiría
eliminabais	eliminaría
encontrabais	encontraría
escapabais	escaparía
escribíais	escribiría
formabais	formaría
formulabais	formularía
hacíais	haría
identificabais	identificaría
introducíais	introduciría
investigabais	investigaría
ibais	iría
limitabais	limitaría
llamabais	llamaría
lograbais	lograría
mencionabais	mencionaría
mirabais	miraría
observabais	observaría
parabais	pararía
participabais	participaría
pedíais	pediría
poníais	pondría
proveíais	proveería
recibíais	recibiría
recordabais	recordaría
resolvíais	resolvería
sacabais	sacaría
sentabais	sentaría
superabais	superaría
supervisabais	supervisaría
terminabais	terminaría
uníais	uniría
vivíais	viviría
