administramos	administré
adquirimos	adquirí
agradecemos	agradecí
alcanzamos	alcancé
alentamos	alenté
ampliamos	amplié
apoyamos	apoyé
aprovechamos	aproveché
aumentamos	aumenté
cambiamos	cambié
causamos	causé
combatimos	combatí
confirmamos	confirmé
consistimos	consistí
consultamos	consulté
controlamos	controlé
coordinamos	coordiné
cumplimos	cumplí
definimos	definí
dejamos	dejé
destacamos	destaqué
empezamos	empecé
estamos	estuve
evitamos	evité
examinamos	examiné
exploramos	exploré
formulamos	formulé
garantizamos	garanticé
generamos	generé
identificamos	identifiqué
introducimos	introduje
involucramos	involucré
limpiamos	limpié
llamamos	llamé
mantenemos	mantuve
observamos	observé
olvidamos	olvidé
pensamos	pensé
ponemos	puse
preparamos	preparé
prevenimos	previne
salimos	salí
seguimos	seguí
sentimos	sentí
sufrimos	sufrí
tomamos	tomé
usamos	usé
vendemos	vendí
vivimos	viví
volvemos	volví
