abordamos	abordarán
accedimos	accederán
actuamos	actuarán
adoptamos	adoptarán
ampliamos	ampliarán
aumentamos	aumentarán
casamos	casarán
combatimos	combatirán
concluimos	concluirán
conservamos	conservarán
convertimos	convertirán
coordinamos	coordinarán
corrimos	correrán
cortamos	cortarán
creamos	crearán
dejamos	dejarán
desarrollamos	desarrollarán
describimos	describirán
desempeñamos	desempeñarán
destacamos	destacarán
enfrentamos	enfrentarán
esperamos	esperarán
examinamos	examinarán
gastamos	gastarán
hubimos	habrán
incluimos	incluirán
incorporamos	incorporarán
limpiamos	limpiarán
llevamos	llevarán
mencionamos	mencionarán
miramos	mirarán
olvidamos	olvidarán
oímos	oirán
produjimos	producirán
publicamos	publicarán
quedamos	quedarán
recogimos	recogerán
reconocimos	reconocerán
requerimos	requerirán
resolvimos	resolverán
respetamos	respetarán
rompimos	romperán
seguimos	seguirán
fuimos	serán
soportamos	soportarán
tocamos	tocarán
trabajamos	trabajarán
utilizamos	utilizarán
volamos	volarán
volvimos	volverán
