abandonas/abandonás	abandonamos
adoptas/adoptás	adoptamos
aprovechas/aprovechás	aprovechamos
atiendes/atendés	atendimos
buscas/buscás	buscamos
casas/casás	casamos
cierras/cerrás	cerramos
confirmas/confirmás	confirmamos
consideras/considerás	consideramos
consistes/consistís	consistimos
contribuyes/contribuís	contribuimos
controlas/controlás	controlamos
cumples/cumplís	cumplimos
dices/decís	dijimos
demuestras/demostrás	demostramos
desarrollas/desarrollás	desarrollamos
descubres/descubrís	descubrimos
designas/designás	designamos
destruyes/destruís	destruimos
detienes/detenés	detuvimos
ejecutas/ejecutás	ejecutamos
envías/enviás	enviamos
escapas/escapás	escapamos
estudias/estudiás	estudiamos
existes/existís	existimos
expresas/expresás	expresamos
firmas/firmás	firmamos
has	hubimos
haces/hacés	hicimos
identificas/identificás	identificamos
imaginas/imaginás	imaginamos
implicas/implicás	implicamos
juegas/jugás	jugamos
logras/lográs	logramos
ocurres/ocurrís	ocurrimos
organizas/organizás	organizamos
pones/ponés	pusimos
previenes/prevenís	previnimos
promueves/promovés	promovimos
proteges/protegés	protegimos
realizas/realizás	realizamos
regresas/regresás	regresamos
requieres/requerís	requerimos
rompes/rompés	rompimos
trabajas/trabajás	trabajamos
traes/traés	trajimos
unes/unís	unimos
usas/usás	usamos
vendes/vendés	vendimos
visitas/visitás	visitamos
