abrió	abrirán
aceleró	acelerarán
actuó	actuarán
anunció	anunciarán
asumió	asumirán
avanzó	avanzarán
ayudó	ayudarán
añadió	añadirán
causó	causarán
comió	comerán
completó	completarán
continuó	continuarán
creó	crearán
dio	darán
dejó	dejarán
desarrolló	desarrollarán
eligió	elegirán
eliminó	eliminarán
enseñó	enseñarán
entró	entrarán
escribió	escribirán
exploró	explorarán
financió	financiarán
fortaleció	fortalecerán
ganó	ganarán
hubo	habrán
impidió	impedirán
implicó	implicarán
incorporó	incorporarán
llegó	llegarán
manejó	manejarán
mencionó	mencionarán
mostró	mostrarán
operó	operarán
paró	pararán
puso	pondrán
preparó	prepararán
promocionó	promocionarán
quedó	quedarán
reemplazó	reemplazarán
reforzó	reforzarán
relacionó	relacionarán
respetó	respetarán
fue	serán
señaló	señalarán
sufrió	sufrirán
sumó	sumarán
supervisó	supervisarán
visitó	visitarán
vivió	vivirán
