abandonaron	abandonaréis
aplicaron	aplicaréis
aumentaron	aumentaréis
cambiaron	cambiaréis
cerraron	cerraréis
comenzaron	comenzaréis
comieron	comeréis
comprobaron	comprobaréis
confiaron	confiaréis
continuaron	continuaréis
convirtieron	convertiréis
cumplieron	cumpliréis
desarrollaron	desarrollaréis
designaron	designaréis
destacaron	destacaréis
destruyeron	destruiréis
disfrutaron	disfrutaréis
durmieron	dormiréis
ejercieron	ejerceréis
enseñaron	enseñaréis
entraron	entraréis
estudiaron	estudiaréis
evaluaron	evaluaréis
examinaron	examinaréis
explicaron	explicaréis
exploraron	exploraréis
financiaron	financiaréis
firmaron	firmaréis
fomentaron	fomentaréis
garantizaron	garantizaréis
hicieron	haréis
impusieron	impondréis
observaron	observaréis
oyeron	oiréis
prepararon	prepararéis
promocionaron	promocionaréis
promovieron	promoveréis
propusieron	propondréis
protegieron	protegeréis
reemplazaron	reemplazaréis
relacionaron	relacionaréis
respondieron	responderéis
rompieron	romperéis
siguieron	seguiréis
fueron	seréis
solicitaron	solicitaréis
soportaron	soportaréis
sufrieron	sufriréis
sumaron	sumaréis
vinieron	vendréis
