abordé	abordaron
accedí	accedieron
asistí	asistieron
busqué	buscaron
canté	cantaron
cerré	cerraron
comencé	comenzaron
comí	comieron
consideré	consideraron
cooperé	cooperaron
creé	crearon
crecí	crecieron
cubrí	cubrieron
descubrí	descubrieron
destruí	destruyeron
ejecuté	ejecutaron
encontré	encontraron
envié	enviaron
escapé	escaparon
esperé	esperaron
evadí	evadieron
fallé	fallaron
firmé	firmaron
fortalecí	fortalecieron
gané	ganaron
habilité	habilitaron
imaginé	imaginaron
impuse	impusieron
instalé	instalaron
introduje	introdujeron
llegué	llegaron
lloré	lloraron
maté	mataron
morí	murieron
mostré	mostraron
olvidé	olvidaron
pagué	pagaron
partí	partieron
preparé	prepararon
presté	prestaron
produje	produjeron
proporcioné	proporcionaron
realicé	realizaron
reduje	redujeron
satisfice	satisficieron
seleccioné	seleccionaron
superé	superaron
traté	trataron
usé	usaron
vine	vinieron
