abrir	abriría
acceder	accedería
beber	bebería
cantar	cantaría
compartir	compartiría
completar	completaría
conservar	conservaría
controlar	controlaría
cortar	cortaría
crear	crearía
defender	defendería
demostrar	demostraría
detener	detendría
determinar	determinaría
eliminar	eliminaría
entender	entendería
escuchar	escucharía
facilitar	facilitaría
firmar	firmaría
habilitar	habilitaría
impedir	impediría
incrementar	incrementaría
integrar	integraría
intentar	intentaría
invertir	invertiría
jugar	jugaría
llorar	lloraría
lograr	lograría
mantener	mantendría
observar	observaría
obtener	obtendría
organizar	organizaría
parar	pararía
participar	participaría
permanecer	permanecería
probar	probaría
promocionar	promocionaría
proporcionar	proporcionaría
proteger	protegería
reemplazar	reemplazaría
relacionar	relacionaría
responder	respondería
sugerir	sugeriría
supervisar	supervisaría
tener	tendría
trabajar	trabajaría
utilizar	utilizaría
ver	vería
viajar	viajaría
volar	volaría
