adquirió	adquirirá
analizó	analizará
asistió	asistirá
atrajo	atraerá
buscó	buscará
cayó	caerá
cambió	cambiará
condujo	conducirá
consideró	considerará
consolidó	consolidará
contuvo	contendrá
contribuyó	contribuirá
creció	crecerá
cubrió	cubrirá
cumplió	cumplirá
defendió	defenderá
dependió	dependerá
desarrolló	desarrollará
descargó	descargará
describió	describirá
ejerció	ejercerá
evaluó	evaluará
financió	financiará
gestionó	gestionará
incorporó	incorporará
informó	informará
inició	iniciará
instaló	instalará
integró	integrará
llegó	llegará
llevó	llevará
localizó	localizará
luchó	luchará
olvidó	olvidará
paró	parará
pidió	pedirá
perdió	perderá
preservó	preservará
prestó	prestará
protegió	protegerá
recordó	recordará
refirió	referirá
regresó	regresará
representó	representará
resolvió	resolverá
revisó	revisará
sintió	sentirá
sufrió	sufrirá
usó	usará
verificó	verificará
