administraba	administraría
adoptaba	adoptaría
adquiría	adquiriría
ampliaba	ampliaría
animaba	animaría
aprendía	aprendería
ayudaba	ayudaría
casaba	casaría
comenzaba	comenzaría
comprobaba	comprobaría
conducía	conduciría
conseguía	conseguiría
consolidaba	consolidaría
convertía	convertiría
cooperaba	cooperaría
daba	daría
demostraba	demostraría
empezaba	empezaría
enseñaba	enseñaría
entendía	entendería
entraba	entraría
estudiaba	estudiaría
examinaba	examinaría
facilitaba	facilitaría
financiaba	financiaría
fomentaba	fomentaría
generaba	generaría
habilitaba	habilitaría
integraba	integraría
investigaba	investigaría
llevaba	llevaría
mantenía	mantendría
organizaba	organizaría
pagaba	pagaría
parecía	parecería
participaba	participaría
preservaba	preservaría
prestaba	prestaría
probaba	probaría
reemplazaba	reemplazaría
relacionaba	relacionaría
rompía	rompería
salía	saldría
sentía	sentiría
superaba	superaría
tomaba	tomaría
traía	traería
usaba	usaría
vendía	vendería
verificaba	verificaría
