adquirió	adquiriría
apareció	aparecería
aplicó	aplicaría
aprovechó	aprovecharía
averiguó	averiguaría
ayudó	ayudaría
concluyó	concluiría
conoció	conocería
contuvo	contendría
cubrió	cubriría
cuidó	cuidaría
desarrolló	desarrollaría
describió	describiría
destruyó	destruiría
dirigió	dirigiría
durmió	dormiría
enfrentó	enfrentaría
escribió	escribiría
evaluó	evaluaría
examinó	examinaría
exploró	exploraría
expresó	expresaría
ganó	ganaría
gestionó	gestionaría
hubo	habría
incluyó	incluiría
integró	integraría
intentó	intentaría
investigó	investigaría
limitó	limitaría
llegó	llegaría
midió	mediría
miró	miraría
modificó	modificaría
observó	observaría
ofreció	ofrecería
paró	pararía
partió	partiría
previno	prevendría
promocionó	promocionaría
proveyó	proveería
publicó	publicaría
quedó	quedaría
respetó	respetaría
supo	sabría
sintió	sentiría
sumó	sumaría
supervisó	supervisaría
terminó	terminaría
trajo	traería
