analizar	analicé
atraer	atraje
añadir	añadí
combatir	combatí
completar	completé
consistir	consistí
continuar	continué
cooperar	cooperé
coordinar	coordiné
cortar	corté
creer	creí
desarrollar	desarrollé
detener	detuve
eliminar	eliminé
empezar	empecé
fallar	fallé
formular	formulé
funcionar	funcioné
hacer	hice
identificar	identifiqué
implicar	impliqué
imponer	impuse
incorporar	incorporé
indicar	indiqué
informar	informé
investigar	investigué
ir	fui
jugar	jugué
luchar	luché
medir	medí
mencionar	mencioné
observar	observé
ocurrir	ocurrí
organizar	organicé
pensar	pensé
poner	puse
probar	probé
proponer	propuse
proteger	protegí
proveer	proveí
publicar	publiqué
reemplazar	reemplacé
romper	rompí
salir	salí
seguir	seguí
sentar	senté
sentir	sentí
usar	usé
utilizar	utilicé
volar	volé
