aceptas/aceptás	aceptaba
alientas/alentás	alentaba
analizas/analizás	analizaba
animas/animás	animaba
atiendes/atendés	atendía
atraes/atraés	atraía
buscas/buscás	buscaba
cantas/cantás	cantaba
completas/completás	completaba
confirmas/confirmás	confirmaba
contienes/contenés	contenía
coordinas/coordinás	coordinaba
corres/corrés	corría
cortas/cortás	cortaba
cubres/cubrís	cubría
decides/decidís	decidía
dices/decís	decía
dependes/dependés	dependía
elaboras/elaborás	elaboraba
explicas/explicás	explicaba
funcionas/funcionás	funcionaba
gestionas/gestionás	gestionaba
hablas/hablás	hablaba
imaginas/imaginás	imaginaba
impones/imponés	imponía
incluyes/incluís	incluía
introduces/introducís	introducía
investigas/investigás	investigaba
juegas/jugás	jugaba
manejas/manejás	manejaba
mides/medís	medía
mueves/movés	movía
observas/observás	observaba
ocurres/ocurrís	ocurría
organizas/organizás	organizaba
permites/permitís	permitía
preservas/preservás	preservaba
pruebas/probás	probaba
produces/producís	producía
promocionas/promocionás	promocionaba
recibes/recibís	recibía
recuperas/recuperás	recuperaba
reemplazas/reemplazás	reemplazaba
refuerzas/reforzás	reforzaba
representas/representás	representaba
eres/sos	era
supervisas/supervisás	supervisaba
terminas/terminás	terminaba
tocas/tocás	tocaba
verificas/verificás	verificaba
