adquirieron	adquiriríamos
alcanzaron	alcanzaríamos
analizaron	analizaríamos
aparecieron	apareceríamos
apoyaron	apoyaríamos
averiguaron	averiguaríamos
bebieron	beberíamos
causaron	causaríamos
compartieron	compartiríamos
compraron	compraríamos
condujeron	conduciríamos
consiguieron	conseguiríamos
corrieron	correríamos
dijeron	diríamos
definieron	definiríamos
disfrutaron	disfrutaríamos
durmieron	dormiríamos
encontraron	encontraríamos
enfrentaron	enfrentaríamos
escribieron	escribiríamos
evadieron	evadiríamos
existieron	existiríamos
facilitaron	facilitaríamos
fomentaron	fomentaríamos
formularon	formularíamos
gestionaron	gestionaríamos
identificaron	identificaríamos
implicaron	implicaríamos
incluyeron	incluiríamos
incrementaron	incrementaríamos
indicaron	indicaríamos
jugaron	jugaríamos
leyeron	leeríamos
limitaron	limitaríamos
limpiaron	limpiaríamos
lloraron	lloraríamos
operaron	operaríamos
pararon	pararíamos
pusieron	pondríamos
presentaron	presentaríamos
previnieron	prevendríamos
promovieron	promoveríamos
publicaron	publicaríamos
recibieron	recibiríamos
recogieron	recogeríamos
reconocieron	reconoceríamos
relacionaron	relacionaríamos
fueron	seríamos
superaron	superaríamos
vieron	veríamos
