abrieron	abrirías
acordaron	acordarías
agradecieron	agradecerías
anunciaron	anunciarías
avanzaron	avanzarías
añadieron	añadirías
bebieron	beberías
cambiaron	cambiarías
casaron	casarías
consistieron	consistirías
contaron	contarías
coordinaron	coordinarías
cumplieron	cumplirías
defendieron	defenderías
dejaron	dejarías
desarrollaron	desarrollarías
descubrieron	descubrirías
designaron	designarías
discutieron	discutirías
ejecutaron	ejecutarías
empezaron	empezarías
encontraron	encontrarías
escaparon	escaparías
escucharon	escucharías
fortalecieron	fortalecerías
hicieron	harías
incluyeron	incluirías
incorporaron	incorporarías
intentaron	intentarías
invirtieron	invertirías
jugaron	jugarías
leyeron	leerías
limitaron	limitarías
llamaron	llamarías
llevaron	llevarías
modificaron	modificarías
observaron	observarías
organizaron	organizarías
perdieron	perderías
promocionaron	promocionarías
promovieron	promoverías
regresaron	regresarías
relacionaron	relacionarías
revisaron	revisarías
sirvieron	servirías
supervisaron	supervisarías
unieron	unirías
usaron	usarías
verificaron	verificarías
volaron	volarías
