abandonabas	abandonarán
abordabas	abordarán
adoptabas	adoptarán
alcanzabas	alcanzarán
avanzabas	avanzarán
averiguabas	averiguarán
añadías	añadirán
combatías	combatirán
compartías	compartirán
concluías	concluirán
confiabas	confiarán
conservabas	conservarán
consistías	consistirán
consultabas	consultarán
continuabas	continuarán
cubrías	cubrirán
dejabas	dejarán
demostrabas	demostrarán
designabas	designarán
ejecutabas	ejecutarán
entrabas	entrarán
escuchabas	escucharán
estabas	estarán
implicabas	implicarán
incrementabas	incrementarán
iniciabas	iniciarán
invertías	invertirán
luchabas	lucharán
mirabas	mirarán
oías	oirán
parecías	parecerán
perdías	perderán
podías	podrán
recogías	recogerán
regresabas	regresarán
relacionabas	relacionarán
representabas	representarán
requerías	requerirán
revisabas	revisarán
sabías	sabrán
satisfacías	satisfarán
seguías	seguirán
seleccionabas	seleccionarán
sentías	sentirán
eras	serán
superabas	superarán
unías	unirán
veías	verán
viajabas	viajarán
volvías	volverán
