aceleran	aceleró
adoptan	adoptó
agradecen	agradeció
animan	animó
añaden	añadió
casan	casó
comen	comió
confirman	confirmó
consiguen	consiguió
consideran	consideró
consisten	consistió
cuentan	contó
continúan	continuó
controlan	controló
cortan	cortó
creen	creyó
definen	definió
describen	describió
destruyen	destruyó
detienen	detuvo
ejercen	ejerció
eliminan	eliminó
enseñan	enseñó
entran	entró
esperan	esperó
evaden	evadió
explican	explicó
financian	financió
forman	formó
gestionan	gestionó
incorporan	incorporó
involucran	involucró
localizan	localizó
luchan	luchó
mueren	murió
mueven	movió
preservan	preservó
producen	produjo
promocionan	promocionó
promueven	promovió
recuerdan	recordó
reducen	redujo
relacionan	relacionó
representan	representó
revisan	revisó
sientan	sentó
solicitan	solicitó
suman	sumó
superan	superó
supervisan	supervisó
