adoptan	adoptaríamos
aparecen	apareceríamos
aprenden	aprenderíamos
atienden	atenderíamos
averiguan	averiguaríamos
beben	beberíamos
buscan	buscaríamos
cambian	cambiaríamos
celebran	celebraríamos
comparten	compartiríamos
comprenden	comprenderíamos
construyen	construiríamos
consultan	consultaríamos
cuidan	cuidaríamos
dan	daríamos
definen	definiríamos
dependen	dependeríamos
desempeñan	desempeñaríamos
disfrutan	disfrutaríamos
duermen	dormiríamos
escriben	escribiríamos
evalúan	evaluaríamos
existen	existiríamos
explican	explicaríamos
formulan	formularíamos
gestionan	gestionaríamos
incorporan	incorporaríamos
informan	informaríamos
instalan	instalaríamos
van	iríamos
logran	lograríamos
luchan	lucharíamos
miden	mediríamos
muestran	mostraríamos
obtienen	obtendríamos
olvidan	olvidaríamos
piden	pediríamos
presentan	presentaríamos
proponen	propondríamos
refuerzan	reforzaríamos
respetan	respetaríamos
siguen	seguiríamos
seleccionan	seleccionaríamos
sientan	sentaríamos
soportan	soportaríamos
sugieren	sugeriríamos
tienen	tendríamos
ven	veríamos
visitan	visitaríamos
votan	votaríamos
