abandonaban	abandonamos
accedían	accedimos
aceleraban	aceleramos
adoptaban	adoptamos
alcanzaban	alcanzamos
asistían	asistimos
atraían	atrajimos
bailaban	bailamos
cantaban	cantamos
causaban	causamos
comprobaban	comprobamos
contenían	contuvimos
convertían	convertimos
creaban	creamos
decían	dijimos
definían	definimos
demostraban	demostramos
destruían	destruimos
ejecutaban	ejecutamos
enfrentaban	enfrentamos
establecían	establecimos
exploraban	exploramos
facilitaban	facilitamos
garantizaban	garantizamos
generaban	generamos
imaginaban	imaginamos
informaban	informamos
intentaban	intentamos
investigaban	investigamos
involucraban	involucramos
iban	fuimos
llegaban	llegamos
llevaban	llevamos
lloraban	lloramos
mantenían	mantuvimos
miraban	miramos
ocurrían	ocurrimos
participaban	participamos
perdían	perdimos
realizaban	realizamos
recuperaban	recuperamos
rompían	rompimos
servían	servimos
solicitaban	solicitamos
superaban	superamos
tomaban	tomamos
trataban	tratamos
utilizaban	utilizamos
vendían	vendimos
visitaban	visitamos
