abordaban	abordará
abrían	abrirá
aceleraban	acelerará
agradecían	agradecerá
anunciaban	anunciará
asistían	asistirá
avanzaban	avanzará
ayudaban	ayudará
casaban	casará
comenzaban	comenzará
comprobaban	comprobará
conocían	conocerá
contenían	contendrá
cooperaban	cooperará
cortaban	cortará
crecían	crecerá
creían	creerá
cumplían	cumplirá
daban	dará
dejaban	dejará
destruían	destruirá
disfrutaban	disfrutará
ejecutaban	ejecutará
entraban	entrará
enviaban	enviará
estaban	estará
estudiaban	estudiará
fortalecían	fortalecerá
gastaban	gastará
guardaban	guardará
identificaban	identificará
imaginaban	imaginará
impedían	impedirá
incorporaban	incorporará
llegaban	llegará
luchaban	luchará
ocurrían	ocurrirá
olvidaban	olvidará
pagaban	pagará
partían	partirá
promocionaban	promocionará
proponían	propondrá
realizaban	realizará
requerían	requerirá
superaban	superará
trataban	tratará
vendían	venderá
venían	vendrá
volaban	volará
votaban	votará
