acuerda	acordaba
adopta	adoptaba
agradece	agradecía
aprende	aprendía
busca	buscaba
canta	cantaba
comprende	comprendía
consulta	consultaba
coordina	coordinaba
crea	creaba
crece	crecía
cubre	cubría
cuida	cuidaba
defiende	defendía
depende	dependía
duerme	dormía
elabora	elaboraba
enseña	enseñaba
entiende	entendía
explica	explicaba
explora	exploraba
falla	fallaba
fomenta	fomentaba
formula	formulaba
funciona	funcionaba
gasta	gastaba
habla	hablaba
incrementa	incrementaba
llama	llamaba
llega	llegaba
llora	lloraba
mantiene	mantenía
parece	parecía
puede	podía
pone	ponía
pregunta	preguntaba
previene	prevenía
publica	publicaba
recibe	recibía
recupera	recuperaba
requiere	requería
selecciona	seleccionaba
señala	señalaba
solicita	solicitaba
termina	terminaba
une	unía
usa	usaba
vende	vendía
vuela	volaba
vuelve	volvía
