accedido	accedió
aceptado	aceptó
adoptado	adoptó
agradecido	agradeció
animado	animó
atendido	atendió
atraído	atrajo
avanzado	avanzó
bailado	bailó
buscado	buscó
cambiado	cambió
caminado	caminó
cerrado	cerró
combatido	combatió
determinado	determinó
dormido	durmió
ejercido	ejerció
eliminado	eliminó
entendido	entendió
escapado	escapó
escrito	escribió
esperado	esperó
firmado	firmó
formulado	formuló
habilitado	habilitó
hablado	habló
implicado	implicó
incluido	incluyó
jugado	jugó
leído	leyó
llegado	llegó
llorado	lloró
logrado	logró
movido	movió
ocurrido	ocurrió
ofrecido	ofreció
pasado	pasó
prevenido	previno
probado	probó
producido	produjo
promocionado	promocionó
quedado	quedó
regresado	regresó
roto	rompió
seguido	siguió
solicitado	solicitó
sufrido	sufrió
supervisado	supervisó
vendido	vendió
vivido	vivió
