abandonaban	abandonarías
abordaban	abordarías
aceleraban	acelerarías
aceptaban	aceptarías
acordaban	acordarías
adquirían	adquirirías
agradecían	agradecerías
analizaban	analizarías
añadían	añadirías
buscaban	buscarías
caminaban	caminarías
cantaban	cantarías
casaban	casarías
comenzaban	comenzarías
compraban	comprarías
conducían	conducirías
confiaban	confiarías
confirmaban	confirmarías
construían	construirías
contribuían	contribuirías
cooperaban	cooperarías
crecían	crecerías
cuidaban	cuidarías
describían	describirías
discutían	discutirías
dormían	dormirías
enseñaban	enseñarías
estaban	estarías
financiaban	financiarías
garantizaban	garantizarías
gestionaban	gestionarías
leían	leerías
llamaban	llamarías
llegaban	llegarías
modificaban	modificarías
morían	morirías
ocurrían	ocurrirías
oían	oirías
participaban	participarías
prevenían	prevendrías
respondían	responderías
sentaban	sentarías
sobrevivían	sobrevivirías
tenían	tendrías
trabajaban	trabajarías
trataban	tratarías
usaban	usarías
venían	vendrías
veían	verías
viajaban	viajarías
