abordaba	abordaban
accedía	accedían
administraba	administraban
agradecía	agradecían
alentaba	alentaban
animaba	animaban
aparecía	aparecían
compraba	compraban
confiaba	confiaban
consultaba	consultaban
cooperaba	cooperaban
coordinaba	coordinaban
creaba	creaban
designaba	designaban
escapaba	escapaban
evaluaba	evaluaban
exploraba	exploraban
funcionaba	funcionaban
gastaba	gastaban
generaba	generaban
habilitaba	habilitaban
hablaba	hablaban
hacía	hacían
incluía	incluían
incorporaba	incorporaban
introducía	introducían
lograba	lograban
luchaba	luchaban
miraba	miraban
mostraba	mostraban
obtenía	obtenían
ofrecía	ofrecían
oía	oían
pagaba	pagaban
podía	podían
preparaba	preparaban
reemplazaba	reemplazaban
refería	referían
regresaba	regresaban
sentaba	sentaban
servía	servían
sufría	sufrían
sugería	sugerían
sumaba	sumaban
superaba	superaban
supervisaba	supervisaban
trabajaba	trabajaban
venía	venían
visitaba	visitaban
volvía	volvían
