abandonaban	abandonará
adquirían	adquirirá
anunciaban	anunciará
aplicaban	aplicará
apoyaban	apoyará
aseguraban	asegurará
buscaban	buscará
caminaban	caminará
celebraban	celebrará
combatían	combatirá
comían	comerá
completaban	completará
comprendían	comprenderá
consolidaban	consolidará
contenían	contendrá
controlaban	controlará
coordinaban	coordinará
creían	creerá
cuidaban	cuidará
definían	definirá
desarrollaban	desarrollará
descargaban	descargará
designaban	designará
determinaban	determinará
discutían	discutirá
enviaban	enviará
establecían	establecerá
estaban	estará
fomentaban	fomentará
imaginaban	imaginará
integraban	integrará
invertían	invertirá
medían	medirá
ocurrían	ocurrirá
oían	oirá
ponían	pondrá
presentaban	presentará
promovían	promoverá
referían	referirá
requerían	requerirá
salvaban	salvará
eran	será
sufrían	sufrirá
tocaban	tocará
usaban	usará
vendían	venderá
venían	vendrá
veían	verá
viajaban	viajará
volvían	volverá
