abordaba	abordarán
abría	abrirán
actuaba	actuarán
ampliaba	ampliarán
animaba	animarán
anunciaba	anunciarán
apoyaba	apoyarán
aprendía	aprenderán
ayudaba	ayudarán
bailaba	bailarán
caminaba	caminarán
casaba	casarán
combatía	combatirán
compartía	compartirán
consistía	consistirán
convertía	convertirán
cooperaba	cooperarán
crecía	crecerán
creía	creerán
daba	darán
dejaba	dejarán
describía	describirán
disfrutaba	disfrutarán
ejercía	ejercerán
eliminaba	eliminarán
enviaba	enviarán
escuchaba	escucharán
fallaba	fallarán
informaba	informarán
jugaba	jugarán
mataba	matarán
movía	moverán
obtenía	obtendrán
operaba	operarán
proporcionaba	proporcionarán
proveía	proveerán
quedaba	quedarán
recogía	recogerán
refería	referirán
resolvía	resolverán
revisaba	revisarán
salvaba	salvarán
seleccionaba	seleccionarán
era	serán
soportaba	soportarán
superaba	superarán
tenía	tendrán
terminaba	terminarán
visitaba	visitarán
volaba	volarán
