aceptamos	aceptarán
administramos	administrarán
aparecemos	aparecerán
asumimos	asumirán
atraemos	atraerán
añadimos	añadirán
buscamos	buscarán
comenzamos	comenzarán
comprobamos	comprobarán
concluimos	concluirán
consistimos	consistirán
construimos	construirán
controlamos	controlarán
coordinamos	coordinarán
creamos	crearán
definimos	definirán
dejamos	dejarán
demostramos	demostrarán
descargamos	descargarán
destruimos	destruirán
discutimos	discutirán
eliminamos	eliminarán
enseñamos	enseñarán
evitamos	evitarán
facilitamos	facilitarán
gastamos	gastarán
generamos	generarán
gestionamos	gestionarán
imaginamos	imaginarán
informamos	informarán
investigamos	investigarán
morimos	morirán
organizamos	organizarán
oímos	oirán
perdemos	perderán
permitimos	permitirán
podemos	podrán
promovemos	promoverán
quedamos	quedarán
reducimos	reducirán
reemplazamos	reemplazarán
reforzamos	reforzarán
resolvemos	resolverán
robamos	robarán
seleccionamos	seleccionarán
sentimos	sentirán
soportamos	soportarán
tocamos	tocarán
unimos	unirán
volamos	volarán
