acelerábamos	acelerarás
agradecíamos	agradecerás
alcanzábamos	alcanzarás
anunciábamos	anunciarás
asegurábamos	asegurarás
ayudábamos	ayudarás
buscábamos	buscarás
completábamos	completarás
consultábamos	consultarás
creábamos	crearás
cuidábamos	cuidarás
cumplíamos	cumplirás
dirigíamos	dirigirás
enseñábamos	enseñarás
esperábamos	esperarás
evaluábamos	evaluarás
facilitábamos	facilitarás
fallábamos	fallarás
financiábamos	financiarás
garantizábamos	garantizarás
impedíamos	impedirás
implicábamos	implicarás
jugábamos	jugarás
manteníamos	mantendrás
mencionábamos	mencionarás
modificábamos	modificarás
necesitábamos	necesitarás
ocurríamos	ocurrirás
operábamos	operarás
organizábamos	organizarás
oíamos	oirás
parecíamos	parecerás
pasábamos	pasarás
pensábamos	pensarás
preparábamos	prepararás
preservábamos	preservarás
prestábamos	prestarás
quedábamos	quedarás
realizábamos	realizarás
recogíamos	recogerás
recuperábamos	recuperarás
regresábamos	regresarás
representábamos	representarás
requeríamos	requerirás
solicitábamos	solicitarás
sugeríamos	sugerirás
superábamos	superarás
terminábamos	terminarás
traíamos	traerás
visitábamos	visitarás
