acelerando	aceleraban
administrando	administraban
adquiriendo	adquirían
aprovechando	aprovechaban
bailando	bailaban
casando	casaban
concluyendo	concluían
conociendo	conocían
consolidando	consolidaban
coordinando	coordinaban
dependiendo	dependían
desempeñando	desempeñaban
designando	designaban
deteniendo	detenían
eliminando	eliminaban
entendiendo	entendían
escuchando	escuchaban
evaluando	evaluaban
expresando	expresaban
funcionando	funcionaban
garantizando	garantizaban
gastando	gastaban
hablando	hablaban
informando	informaban
iniciando	iniciaban
invirtiendo	invertían
llegando	llegaban
mostrando	mostraban
ofreciendo	ofrecían
perdiendo	perdían
permaneciendo	permanecían
preparando	preparaban
prestando	prestaban
previniendo	prevenían
proponiendo	proponían
protegiendo	protegían
reconociendo	reconocían
representando	representaban
revisando	revisaban
saliendo	salían
salvando	salvaban
seleccionando	seleccionaban
siendo	eran
soportando	soportaban
tratando	trataban
vendiendo	vendían
viniendo	venían
viendo	veían
volviendo	volvían
votando	votaban
