abro	abren
acuerdo	acuerdan
alcanzo	alcanzan
anuncio	anuncian
apoyo	apoyan
asisto	asisten
atiendo	atienden
bailo	bailan
caso	casan
confirmo	confirman
consolido	consolidan
consulto	consultan
cuento	cuentan
controlo	controlan
corto	cortan
cubro	cubren
cumplo	cumplen
demuestro	demuestran
describo	describen
determino	determinan
ejerzo	ejercen
elaboro	elaboran
estoy	están
evalúo	evalúan
examino	examinan
fallo	fallan
fortalezco	fortalecen
gano	ganan
habilito	habilitan
hago	hacen
incluyo	incluyen
incorporo	incorporan
instalo	instalan
llamo	llaman
olvido	olvidan
paro	paran
puedo	pueden
proporciono	proporcionan
protejo	protegen
refiero	refieren
saco	sacan
salvo	salvan
satisfago	satisfacen
sigo	siguen
siento	sientan
supero	superan
traigo	traen
vendo	venden
verifico	verifican
vuelvo	vuelven
