accedes/accedés	accedieron
actúas/actuás	actuaron
administras/administrás	administraron
amplías/ampliás	ampliaron
animas/animás	animaron
asistes/asistís	asistieron
asumes/asumís	asumieron
aumentas/aumentás	aumentaron
avanzas/avanzás	avanzaron
bailas/bailás	bailaron
bebes/bebés	bebieron
caes/caés	cayeron
comprendes/comprendés	comprendieron
concluyes/concluís	concluyeron
consigues/conseguís	consiguieron
consideras/considerás	consideraron
cumples/cumplís	cumplieron
decides/decidís	decidieron
defines/definís	definieron
dejas/dejás	dejaron
descargas/descargás	descargaron
destruyes/destruís	destruyeron
estás	estuvieron
estudias/estudiás	estudiaron
financias/financiás	financiaron
firmas/firmás	firmaron
generas/generás	generaron
hablas/hablás	hablaron
investigas/investigás	investigaron
involucras/involucrás	involucraron
lees/leés	leyeron
mantienes/mantenés	mantuvieron
mides/medís	midieron
permaneces/permanecés	permanecieron
promocionas/promocionás	promocionaron
promueves/promovés	promovieron
proteges/protegés	protegieron
realizas/realizás	realizaron
requieres/requerís	requirieron
resuelves/resolvés	resolvieron
robas/robás	robaron
sacas/sacás	sacaron
sobrevives/sobrevivís	sobrevivieron
sufres/sufrís	sufrieron
sugieres/sugerís	sugirieron
supervisas/supervisás	supervisaron
verificas/verificás	verificaron
visitas/visitás	visitaron
vuelas/volás	volaron
votas/votás	votaron
