abordó	abordaríamos
abrió	abriríamos
acordó	acordaríamos
administró	administraríamos
adquirió	adquiriríamos
aseguró	aseguraríamos
cambió	cambiaríamos
comprobó	comprobaríamos
contuvo	contendríamos
creó	crearíamos
cuidó	cuidaríamos
definió	definiríamos
demostró	demostraríamos
desarrolló	desarrollaríamos
destacó	destacaríamos
discutió	discutiríamos
esperó	esperaríamos
falló	fallaríamos
financió	financiaríamos
firmó	firmaríamos
gestionó	gestionaríamos
impidió	impediríamos
incorporó	incorporaríamos
involucró	involucraríamos
leyó	leeríamos
limpió	limpiaríamos
lloró	lloraríamos
manejó	manejaríamos
obtuvo	obtendríamos
ofreció	ofreceríamos
operó	operaríamos
pudo	podríamos
preguntó	preguntaríamos
preservó	preservaríamos
recibió	recibiríamos
redujo	reduciríamos
regresó	regresaríamos
relacionó	relacionaríamos
revisó	revisaríamos
robó	robaríamos
sacó	sacaríamos
salió	saldríamos
seleccionó	seleccionaríamos
superó	superaríamos
supervisó	supervisaríamos
tomó	tomaríamos
trajo	traeríamos
utilizó	utilizaríamos
vendió	venderíamos
viajó	viajaríamos
