abandonaba	abandonó
administraba	administró
adquiría	adquirió
analizaba	analizó
anunciaba	anunció
aprovechaba	aprovechó
añadía	añadió
causaba	causó
celebraba	celebró
cerraba	cerró
conservaba	conservó
cuidaba	cuidó
daba	dio
decía	dijo
dependía	dependió
disfrutaba	disfrutó
ejercía	ejerció
eliminaba	eliminó
entraba	entró
enviaba	envió
evadía	evadió
evitaba	evitó
explicaba	explicó
financiaba	financió
formulaba	formuló
gestionaba	gestionó
guardaba	guardó
imponía	impuso
incrementaba	incrementó
iba	fue
llamaba	llamó
llevaba	llevó
mantenía	mantuvo
mejoraba	mejoró
mencionaba	mencionó
observaba	observó
participaba	participó
partía	partió
permitía	permitió
prevenía	previno
reemplazaba	reemplazó
regresaba	regresó
relacionaba	relacionó
robaba	robó
salía	salió
solicitaba	solicitó
supervisaba	supervisó
trataba	trató
utilizaba	utilizó
vendía	vendió
