acordáis	acordaré
adoptáis	adoptaré
alcanzáis	alcanzaré
aprobáis	aprobaré
asumís	asumiré
atendéis	atenderé
buscáis	buscaré
casáis	casaré
combatís	combatiré
coméis	comeré
construís	construiré
coordináis	coordinaré
corréis	correré
crecéis	creceré
cubrís	cubriré
cumplís	cumpliré
disfrutáis	disfrutaré
dormís	dormiré
escucháis	escucharé
financiáis	financiaré
formáis	formaré
funcionáis	funcionaré
guardáis	guardaré
implicáis	implicaré
imponéis	impondré
incorporáis	incorporaré
incrementáis	incrementaré
instaláis	instalaré
lloráis	lloraré
mejoráis	mejoraré
mencionáis	mencionaré
observáis	observaré
ocurrís	ocurriré
oís	oiré
preserváis	preservaré
promovéis	promoveré
proponéis	propondré
protegéis	protegeré
proveéis	proveeré
recogéis	recogeré
recordáis	recordaré
recuperáis	recuperaré
representáis	representaré
respondéis	responderé
robáis	robaré
servís	serviré
señaláis	señalaré
unís	uniré
venís	vendré
viajáis	viajaré
