abriendo	abríais
alcanzando	alcanzabais
anunciando	anunciabais
aprendiendo	aprendíais
aprobando	aprobabais
aumentando	aumentabais
casando	casabais
causando	causabais
cerrando	cerrabais
comenzando	comenzabais
comiendo	comíais
creando	creabais
cubriendo	cubríais
dejando	dejabais
describiendo	describíais
descubriendo	descubríais
destacando	destacabais
deteniendo	deteníais
fallando	fallabais
formulando	formulabais
indicando	indicabais
informando	informabais
instalando	instalabais
introduciendo	introducíais
leyendo	leíais
llegando	llegabais
llorando	llorabais
logrando	lograbais
manteniendo	manteníais
matando	matabais
necesitando	necesitabais
pasando	pasabais
pudiendo	podíais
preguntando	preguntabais
publicando	publicabais
quedando	quedabais
recibiendo	recibíais
relacionando	relacionabais
representando	representabais
requiriendo	requeríais
respondiendo	respondíais
rompiendo	rompíais
salvando	salvabais
sintiendo	sentíais
sugiriendo	sugeríais
sumando	sumabais
supervisando	supervisabais
tomando	tomabais
tratando	tratabais
viniendo	veníais
