abría	abriré
analizaba	analizaré
animaba	animaré
apoyaba	apoyaré
aprendía	aprenderé
aseguraba	aseguraré
asistía	asistiré
ayudaba	ayudaré
comenzaba	comenzaré
compraba	compraré
construía	construiré
consultaba	consultaré
controlaba	controlaré
convertía	convertiré
cubría	cubriré
definía	definiré
dejaba	dejaré
demostraba	demostraré
desempeñaba	desempeñaré
ejercía	ejerceré
entendía	entenderé
escapaba	escaparé
escribía	escribiré
examinaba	examinaré
exploraba	exploraré
formulaba	formularé
funcionaba	funcionaré
gastaba	gastaré
generaba	generaré
gestionaba	gestionaré
implicaba	implicaré
indicaba	indicaré
involucraba	involucraré
jugaba	jugaré
manejaba	manejaré
mantenía	mantendré
medía	mediré
modificaba	modificaré
permitía	permitiré
protegía	protegeré
quedaba	quedaré
resolvía	resolveré
revisaba	revisaré
rompía	romperé
salvaba	salvaré
sumaba	sumaré
tocaba	tocaré
usaba	usaré
veía	veré
vivía	viviré
