abandonó	abandonarán
actuó	actuarán
aseguró	asegurarán
ayudó	ayudarán
añadió	añadirán
cayó	caerán
cerró	cerrarán
comenzó	comenzarán
comió	comerán
consistió	consistirán
contuvo	contendrán
cooperó	cooperarán
dio	darán
demostró	demostrarán
dependió	dependerán
desarrolló	desarrollarán
designó	designarán
empezó	empezarán
envió	enviarán
escribió	escribirán
escuchó	escucharán
estableció	establecerán
facilitó	facilitarán
formuló	formularán
ganó	ganarán
identificó	identificarán
imaginó	imaginarán
incrementó	incrementarán
instaló	instalarán
invirtió	invertirán
localizó	localizarán
luchó	lucharán
mató	matarán
miró	mirarán
observó	observarán
olvidó	olvidarán
operó	operarán
puso	pondrán
proveyó	proveerán
reconoció	reconocerán
recuperó	recuperarán
representó	representarán
rompió	romperán
salvó	salvarán
sentó	sentarán
señaló	señalarán
sobrevivió	sobrevivirán
trajo	traerán
trató	tratarán
vio	verán
