acelerando	aceleraría
actuando	actuaría
administrando	administraría
adoptando	adoptaría
ampliando	ampliaría
anunciando	anunciaría
asegurando	aseguraría
avanzando	avanzaría
caminando	caminaría
celebrando	celebraría
combatiendo	combatiría
confiando	confiaría
confirmando	confirmaría
conociendo	conocería
consiguiendo	conseguiría
conteniendo	contendría
continuando	continuaría
cortando	cortaría
defendiendo	defendería
describiendo	describiría
destacando	destacaría
determinando	determinaría
disfrutando	disfrutaría
estando	estaría
explicando	explicaría
ganando	ganaría
hablando	hablaría
incluyendo	incluiría
llevando	llevaría
mencionando	mencionaría
mostrando	mostraría
ocurriendo	ocurriría
olvidando	olvidaría
operando	operaría
oyendo	oiría
participando	participaría
pidiendo	pediría
pensando	pensaría
preguntando	preguntaría
publicando	publicaría
sacando	sacaría
siguiendo	seguiría
seleccionando	seleccionaría
sintiendo	sentiría
señalando	señalaría
sugiriendo	sugeriría
supervisando	supervisaría
tomando	tomaría
tratando	trataría
utilizando	utilizaría
