accedía	accedería
aceleraba	aceleraría
acordaba	acordaría
actuaba	actuaría
ampliaba	ampliaría
animaba	animaría
asumía	asumiría
averiguaba	averiguaría
bailaba	bailaría
caía	caería
casaba	casaría
comenzaba	comenzaría
compartía	compartiría
consultaba	consultaría
continuaba	continuaría
corría	correría
cortaba	cortaría
creaba	crearía
cuidaba	cuidaría
cumplía	cumpliría
desempeñaba	desempeñaría
destruía	destruiría
detenía	detendría
discutía	discutiría
ejecutaba	ejecutaría
enfrentaba	enfrentaría
entraba	entraría
estudiaba	estudiaría
evadía	evadiría
involucraba	involucraría
manejaba	manejaría
modificaba	modificaría
moría	moriría
necesitaba	necesitaría
permitía	permitiría
presentaba	presentaría
prevenía	prevendría
reconocía	reconocería
recuperaba	recuperaría
reducía	reduciría
reemplazaba	reemplazaría
relacionaba	relacionaría
satisfacía	satisfaría
señalaba	señalaría
solicitaba	solicitaría
sufría	sufriría
sugería	sugeriría
supervisaba	supervisaría
trataba	trataría
viajaba	viajaría
