aceleraban	acelerará
acordaban	acordará
adoptaban	adoptará
alcanzaban	alcanzará
aprendían	aprenderá
asistían	asistirá
atraían	atraerá
avanzaban	avanzará
cantaban	cantará
cerraban	cerrará
completaban	completará
compraban	comprará
confiaban	confiará
contribuían	contribuirá
cubrían	cubrirá
desarrollaban	desarrollará
destacaban	destacará
disfrutaban	disfrutará
ejecutaban	ejecutará
enseñaban	enseñará
evadían	evadirá
explicaban	explicará
financiaban	financiará
identificaban	identificará
indicaban	indicará
iniciaban	iniciará
introducían	introducirá
investigaban	investigará
involucraban	involucrará
limitaban	limitará
localizaban	localizará
mantenían	mantendrá
medían	medirá
modificaban	modificará
mostraban	mostrará
oían	oirá
paraban	parará
pedían	pedirá
producían	producirá
proveían	proveerá
publicaban	publicará
reconocían	reconocerá
representaban	representará
salían	saldrá
servían	servirá
señalaban	señalará
sumaban	sumará
supervisaban	supervisará
usaban	usará
verificaban	verificará
