abordaba	abordaría
acordaba	acordaría
adquiría	adquiriría
aumentaba	aumentaría
bebía	bebería
buscaba	buscaría
caía	caería
cantaba	cantaría
conocía	conocería
conservaba	conservaría
consistía	consistiría
contribuía	contribuiría
creaba	crearía
defendía	defendería
describía	describiría
designaba	designaría
destacaba	destacaría
dirigía	dirigiría
escuchaba	escucharía
explicaba	explicaría
guardaba	guardaría
habilitaba	habilitaría
hacía	haría
implicaba	implicaría
iba	iría
limpiaba	limpiaría
mantenía	mantendría
mostraba	mostraría
observaba	observaría
olvidaba	olvidaría
participaba	participaría
perdía	perdería
ponía	pondría
preparaba	prepararía
presentaba	presentaría
prestaba	prestaría
producía	produciría
promocionaba	promocionaría
proveía	proveería
reforzaba	reforzaría
regresaba	regresaría
resolvía	resolvería
revisaba	revisaría
sacaba	sacaría
salía	saldría
servía	serviría
señalaba	señalaría
sobrevivía	sobreviviría
tocaba	tocaría
vendía	vendería
