abandonó	abandonarás
abrió	abrirás
accedió	accederás
adoptó	adoptarás
analizó	analizarás
apareció	aparecerás
avanzó	avanzarás
añadió	añadirás
compró	comprarás
comprendió	comprenderás
comprobó	comprobarás
contribuyó	contribuirás
convirtió	convertirás
creó	crearás
dijo	dirás
desarrolló	desarrollarás
determinó	determinarás
disfrutó	disfrutarás
eliminó	eliminarás
enfrentó	enfrentarás
entendió	entenderás
entró	entrarás
esperó	esperarás
firmó	firmarás
gestionó	gestionarás
hubo	habrás
hizo	harás
impidió	impedirás
indicó	indicarás
fue	irás
limitó	limitarás
llamó	llamarás
mató	matarás
midió	medirás
mostró	mostrarás
obtuvo	obtendrás
pagó	pagarás
pensó	pensarás
puso	pondrás
presentó	presentarás
produjo	producirás
proporcionó	proporcionarás
proveyó	proveerás
publicó	publicarás
recordó	recordarás
recuperó	recuperarás
refirió	referirás
salvó	salvarás
fue	serás
tomó	tomarás
