abordé	abordaría
actué	actuaría
agradecí	agradecería
animé	animaría
apoyé	apoyaría
aproveché	aprovecharía
aseguré	aseguraría
asumí	asumiría
compré	compraría
construí	construiría
convertí	convertiría
corté	cortaría
creé	crearía
decidí	decidiría
defendí	defendería
discutí	discutiría
ejercí	ejercería
elegí	elegiría
empecé	empezaría
enfrenté	enfrentaría
enseñé	enseñaría
entré	entraría
estuve	estaría
firmé	firmaría
fomenté	fomentaría
gasté	gastaría
hice	haría
incorporé	incorporaría
jugué	jugaría
localicé	localizaría
luché	lucharía
mejoré	mejoraría
necesité	necesitaría
ocurrí	ocurriría
partí	partiría
presenté	presentaría
proporcioné	proporcionaría
recogí	recogería
reconocí	reconocería
reduje	reduciría
reforcé	reforzaría
satisfice	satisfaría
sumé	sumaría
tuve	tendría
tomé	tomaría
utilicé	utilizaría
vine	vendría
visité	visitaría
volé	volaría
voté	votaría
