abordarán	abordaría
accederán	accedería
anunciarán	anunciaría
aparecerán	aparecería
aprovecharán	aprovecharía
asegurarán	aseguraría
añadirán	añadiría
beberán	bebería
caerán	caería
caminarán	caminaría
combatirán	combatiría
comprarán	compraría
conducirán	conduciría
conocerán	conocería
contarán	contaría
convertirán	convertiría
cubrirán	cubriría
decidirán	decidiría
demostrarán	demostraría
descargarán	descargaría
designarán	designaría
ejecutarán	ejecutaría
elegirán	elegiría
entenderán	entendería
escucharán	escucharía
estarán	estaría
fortalecerán	fortalecería
mirarán	miraría
ofrecerán	ofrecería
pagarán	pagaría
pasarán	pasaría
permitirán	permitiría
podrán	podría
pondrán	pondría
presentarán	presentaría
probarán	probaría
promocionarán	promocionaría
protegerán	protegería
recuperarán	recuperaría
representarán	representaría
saldrán	saldría
seguirán	seguiría
seleccionarán	seleccionaría
sentarán	sentaría
señalarán	señalaría
tomarán	tomaría
venderán	vendería
viajarán	viajaría
visitarán	visitaría
volarán	volaría
