acordaré	acordaría
actuaré	actuaría
alentaré	alentaría
analizaré	analizaría
atenderé	atendería
aumentaré	aumentaría
bailaré	bailaría
comeré	comería
compraré	compraría
confirmaré	confirmaría
consolidaré	consolidaría
coordinaré	coordinaría
daré	daría
diré	diría
defenderé	defendería
desempeñaré	desempeñaría
discutiré	discutiría
disfrutaré	disfrutaría
dormiré	dormiría
encontraré	encontraría
escribiré	escribiría
estableceré	establecería
facilitaré	facilitaría
financiaré	financiaría
firmaré	firmaría
formaré	formaría
generaré	generaría
gestionaré	gestionaría
habilitaré	habilitaría
identificaré	identificaría
impediré	impediría
incluiré	incluiría
informaré	informaría
instalaré	instalaría
introduciré	introduciría
limitaré	limitaría
llamaré	llamaría
mataré	mataría
oiré	oiría
pondré	pondría
presentaré	presentaría
prestaré	prestaría
prevendré	prevendría
propondré	propondría
proporcionaré	proporcionaría
quedaré	quedaría
recibiré	recibiría
seré	sería
visitaré	visitaría
volveré	volvería
