abandonaré	abandonaría
abordaré	abordaría
abriré	abriría
agradeceré	agradecería
analizaré	analizaría
animaré	animaría
asumiré	asumiría
compartiré	compartiría
consideraré	consideraría
contaré	contaría
convertiré	convertiría
cumpliré	cumpliría
dependeré	dependería
descargaré	descargaría
descubriré	descubriría
dirigiré	dirigiría
ejerceré	ejercería
eliminaré	eliminaría
enfrentaré	enfrentaría
enviaré	enviaría
escucharé	escucharía
estableceré	establecería
evadiré	evadiría
examinaré	examinaría
gastaré	gastaría
guardaré	guardaría
habilitaré	habilitaría
impondré	impondría
mantendré	mantendría
moriré	moriría
mostraré	mostraría
pareceré	parecería
participaré	participaría
partiré	partiría
pediré	pediría
preguntaré	preguntaría
prevendré	prevendría
proporcionaré	proporcionaría
protegeré	protegería
quedaré	quedaría
realizaré	realizaría
reconoceré	reconocería
referiré	referiría
representaré	representaría
requeriré	requeriría
soportaré	soportaría
usaré	usaría
verificaré	verificaría
viajaré	viajaría
volaré	volaría
